artist,song_name,closest_genre,lyric,length_lyric
Sam Cooke,Meet Me At Mary's Place,Blues,"A friend of mine told me one early mornin'
(Over at Mary's place, ho)
Said tonight there's gonna be a party goin' on
(Over at Mary's place, ho)
He said ""If you can enjoy a real nice affair
(Over at Mary's place, ho)
Then you'll make it your business to be right there""
(Over at Mary's place, ho)

He said in fact: Meet me (meet me at Mary's place)
We're gonna have (we're gonna have us a ball today)
Why don't you (meet me at Mary's place)
Why don't you meet me (meet me at Mary's place)
We're gonna have (we're gonna have us a ball today)
Why don't you (meet me at Mary's place, ho)

He said: There's one thing I that want you to know
(Over at Mary's place, ho)
You're gonna have a good time before you go
(Over at Mary's place, ho)
He said: There's one more thing that I'm gonna guarantee
(Over at Mary's place, ho)
Got to have fun if you're a man like me
(Over at Mary's place, ho)

If you wanna have fun, meet me (meet me at Mary's place)
We're gonna have (we're gonna have us a ball today)
Why don't you (meet me at Mary's place)
Oh meet me (meet me at Mary's place)
We're gonna have (we're gonna have us a ball today)
Why don't you (meet me at Mary's place, ho)

If you wanna have a good time (meet me at Mary's place)
We're gonna have (we're gonna have us a ball today)
Come on & (meet me at Mary's place)
Oh, meet me (meet me at Mary's place)
We're gonna have (we're gonna have us a ball today)
Come on & (meet me at Mary's place, ho)",290
Curtis Mayfield,Give Me Your Love (Love Song),Blues,"SO IN LOVE
SO IN LOVE, YOU DO SO MANY THINGS WITH A SMILING FACE.
SO IN LOVE, EVERYTIME WE KISS, IT'S SUCH A PLEASANT TASTE.
THAT'S WHY I KNOW THIS FEELINGS GOOD STRONG, TRIAL & ERROR WE SEEM TO GET ALONG.
I WANA TESTIFY IT MEANS SO MUCH TO ME.
LET ME RECTIFY I MEAN IT HONESTLY (EEW)
LIFE IS CRAZY, BELIEVE ME, IT IS TRUE (EEW)
WE DON'T ALWAYS MEAN, THE THINGS WE SOMETIMES DO.
I COULD BE, YOU KNOW IT'S TRUE, YOU KNOW WE'RE SO IN LOVE.
LAY ME DOWN, REST AWHILE, YOU'RE MOVING MY EMOTIONS.
SO IN LOVE, YOU DON'T HAVE TO WORRY, YOU HAVE MY DEVOTION.
THIS LOVE AFFAIR IS BIGGER THAN WE TWO,
LOOSE OUR FAITH, AND IT WILL SWALLOW YOU.
LOVIN YOU, IS WHAY I'LL ALWAYS FEEL. NEVER EVER DOING THINGS AGAINST OUR WILL(EEW)
NATURAL THINGS, NEVER REQUIRE ANY KIND OF TE-EST, BEING YOU AND I BEING ME, YOU DON'T WORRY ABOUT THE REST
(IN MY HEART I WANA STRESS), YOU GOT ME SO IN LOVE [INSTRUMENTAL BREAK]
SO IN LOVE,I TRIED TO DO THE BEST THAT A MAN CAN DO.
SO IN LOVE, THE KEY TO OUR SUCCESS,
IS SEE EACH OTHER THROUGH.
SO IN LOVE, SO IN LOVE
LAY DOWM REST AWHILE YOUR OVING MY EMOTIONS.
SO IN LOVE",218
Sam Cooke,Another Saturday Night,Blues,"Let me tell you 'bout a place
Somewhere up-a New-York way
Where the people are so gay
Twistin' the night away
Here they have a lot of fun
Puttin' trouble on the run
Man, you find the old and young
Twistin' the night away
They're twistin', twistin', everybody's feelin' great
They're twistin', twistin', they're twistin' the night away
Here's a man in evenin' clothes
How he got here, I don't know, but
Man, you oughta see him go
Twistin' the night away-ay
He's dancin' with the chick in slacks
She's a-movin' up and back
Oh man, there ain't nothin' like
Twistin' the night away
They're twistin', twistin', everybody's feelin' great
They're twistin', twistin', they're twistin' the night away
Let's twist a while!
Lean up, lean back
Lean up, lean back
Watusi, now fly, now twist
They're twistin' the night away
Here's a fella in bluejeans
Dancin' with a older Queen
Who's dolled up in-a diamond rings and
Twistin' the night away-ay
Man, you oughta see her go
Twistin' to the rock and roll
Here you find the young and old
Twistin' the night away
They're twistin', twistin', man, everybody's feelin' great
They're twistin', twistin', they're twistin' the night away
One more time!
Lean up, lean back
Lean up, lean back
Watusi, now fly, now twist
They're twistin' the night away",220
Sonny Boy Williamson I,Something Going On Wrong,Blues,"(Together) We will go our way
(Together) We will leave some day
(Together) Your hand in my hand
(Together) We will make our plan

(Together) We will fly so high
(Together) Tell all our friends goodbye
(Together) We will start life new
(Together) This is what we'll do:

(Go west) Life is peaceful there
(Go west) in the open air
(Go west) where the skies are blue
(Go west) this is what we're gonna do

(Together) We will love the beach
(Together) We will learn and teach
(Together) Change our pace of life
(Together) We will work and strive

(I love you) I know you love me,
(I want you) how could I disagree?
(So that's why) I make no protest
(When you say) you will do the rest

(Go west) life is peaceful there
(Go west) in the open air
(Go west) baby, you and me
(Go west) this is our destiny
(Go west) sun in winter time
(Go west) we will do just fine
(Go west) where the skies are blue
(Go west) this is what we're gonna do

There, where the air is free
We'll be (we'll be) what we want to be
Now, if we make a stand
We'll find (we'll find) our promised land!

(I know that) there are many ways
(To live there) in the sun or shade
(Together) we will find the place
(To settle) where there's so much space

(Without rush) And the pace back east
(The hustling) rustling just to feast
(I know I'm) ready to leave too
(So that's why) we are gonna do
(Oh, what we're gonna do is...)

(Go west) life is peaceful there
(Go west) there, in the open air
(Go west) Where the skies are blue
(Go west) This is what we're gonna do...

(Life is peaceful there)
Go west (In the open air)
Go west (Baby, you and me)
(This is our destiny) Come on, come on, come on, come on

(Go west) Sun in winter time
(Go west) we will feel just fine
(Go west) where the skies are blue
(Go west) this is what we're gonna do

(Come on, come on, come on, come on, go west!)",364
Carole King,Where You Lead,Blues,"Wanting you the way I do
I only wanna be with you
And I would go to the ends of the earth
Cause darling to me that's what you're worth

Chorus

Where you lead
I will follow
Anywhere, that you tell me to
If you need, you need me to be with you
I will follow
Where you lead

If you're out on the road
Feeling lonely and so cold
All you have to do is call my name
And I'll be there
On the next train

Chorus

I always wanted a real home
With flowers on the windowsill
But if you wanna live in New York City
Honey, you know I will
(yes I will, yes I will)

I never thought I could get satisfaction
From just one man
But if anyone could keep me happy
You're the one who can

Chorus (x2)

Oh baby, oh, I'm gonna follow where you lead
I'm gonna follow where you lead
(I'm gonna follow where you lead) (x4)",166
Beyoncé,Halo,Blues,"Well Remember those walls I built
Well baby they're tumbling down
And they didn't even put up a fight
They didn't even make a sound
I found a way to let you in
But I never really had a doubt
Standing in the light of your halo
I got my angel now

It's like I've been awakened
Every rule I had you breakin'
It's the risk that I'm takin'
I ain't never gonna shut you out

Everywhere I'm looking now
I'm surrounded by your embrace
Baby I can see your halo
You know you're my saving grace
You're everything I need and more
It's written all over your face
Baby I can feel your halo
Pray it won't fade away

I can feel your halo (halo) halo
I can see your halo (halo) halo
I can feel your halo (halo) halo
I can see your halo (halo) halo
Woah...

Hit me like a ray of sun
Burning through my darkest night
You're the only one that I want
Think I'm addicted to your light
I swore I'd never fall again
But this don't even feel like falling
Gravity can't forget
To pull me to the ground again

Feels like I've been awakened
Every rule I had you breakin'
The risk that I'm takin'
I'm never gonna shut you out

Everywhere I'm looking now
I'm surrounded by your embrace
Baby I can see your halo
You know you're my saving grace
You're everything I need and more
It's written all over your face
Baby I can feel your halo
Pray it won't fade away

I can feel your halo (halo) halo
I can see your halo (halo) halo
I can feel your halo (halo) halo
I can see your halo (halo) halo
I can feel your halo (halo) halo
I can see your halo (halo)

Halooooo ouuuu
Halooooo ouuuu
Halooooo ouuuu
Ouuuuu ouuuuu ouuuuu

Everywhere I'm looking now
I'm surrounded by your embrace
Baby I can see your halo
You know you're my saving grace
You're everything I need and more
It's written all over your face
Baby I can feel your halo
Pray it won't fade away

I can feel your halo (halo) halo
I can see your halo (halo) halo
I can feel your halo (halo) halo
I can see your halo (halo) halo
I can feel your halo (halo) halo
I can see your halo (halo) halo
I can feel your halo (halo) halo
I can see your halo (halo) halo",413
Mary Wells,Two Lovers,Blues,"Well, I've got two lovers,
and I ain't ashamed.
Two lovers, and I love them both the same.

Let me tell you bout, my first lover.
He's sweet and kind, and he's mine, oh, mine, and
Treats me good like a lover should.
And makes me love him.
I really really love him oh, oh, I love him so.
And I'll do everything I can to let him know.

But, I've got two lovers, and I ain't ashamed.
Two lovers, and I love them both the same.
Let me tell you bout my other lover.

Well, you know he treats me bad.
Makes me sad.
Makes me cry, but still I can't deny, but
I love him, I really really love him. oh, oh, I
love him so. And I'll do everything I can to let him know.

Darlin well, don't you know I can tell.
That whenever I look at you, that you think
that I'm untrue, cause I say that I love two.
But, I really, really do.
Cause, you're a split personality.
And in reality, both of them are you.
(they both are you)

Well, I've got two lovers...",192
Stevie Wonder,Sir Duke,Blues,"Music is a world within itself
With a language we all understand
With an equal opportunity
For all to sing, dance and clap their hands

But just because a record has a groove
Don't make it in the groove
But you can tell right away at letter A
When the people start to move

They can feel it all over
They can feel it all over people
They can feel it all over
They can feel it all over people

Music knows it is and always will
Be one of the things that life just won't quit
But here are some of music's pioneers
That time will not allow us to forget
For there's Basie, Miller, Satchmo
And the king of all, Sir Duke
And with a voice like Ella's ringing out
There's no way the band can lose

You can feel it all over
You can feel it all over people
You can feel it all over
You can feel it all over people [Repeat]

Can't you feel it all over
Come on let's feel it all over people
You can feel it all over
Everybody, all over people",190
Robert Johnson,Come On In My Kitchen,Blues,"Mmm... you better come on in my kitchen babe, it’s goin’ to be rainin’ outdoors

The woman I love, took from my best friend
Some joker got lucky, stole her back again
You better come on in my kitchen babe, it's goin' to be rainin' outdoors

Oh, she's gone, I know she won't come back
I've taken the last nickel out of her nation sack
You better come on in my kitchen, baby, it's goin' to be rainin' outdoors

(Spoken: Oh, can't you hear that wind howl?)
Can't you hear that wind howl?
You better come on in my kitchen, baby, it's goin' to be rainin' outdoors

When a woman gets in trouble, everybody throws her down
Lookin' for her good friend, none can't be found
You better come on in my kitchen, baby, it's goin' to be rainin' outdoors

Winter time's comin', it's goin' to be slow
You can make the winter, babe, that's dry long so
You better come on in my kitchen, 'cause it's goin' to be rainin' outdoors",172
Chuck Berry,Sweet Little Rock 'N' Roller,Blues,"They're really rockin Boston
In Pittsburgh, P. A.
Deep in the heart of Texas
And 'round the Frisco Bay
All over St. Louis
Way down in New Orleans
All the Cats wanna dance with
Sweet Little Sixteen

Sweet Little Sixteen
She's just got to have
About half a million
Framed autographs
Her wallet's filled with pictures
She gets 'em one by one
She gets so excited
Watch her look at her run

Oh mommy mommy
Please may I go
It's such a sight to see
Somebody steal the show
Oh daddy daddy
I beg of you
Whisper to mommy
It's all right with you

Cause they'll be rockin on bandstand
In Philadelphia P.A.
Deep in the heart of Texas
And 'round the Frisco Bay
All over St. Louis
Way Down in New Orleans
All the Cats wanna dance with
Sweet Little Sixteen

Sweet Little Sixteen
She's got the grown up blues
Tight dress and lipstick
She's sportin' high heal shoes
Oh, but tomorrow morning
She'll have to chang her trend
And be sweet sixteen
And back in class again

Cause they'll be rockin on bandstand
In Philadelphia P.A.
Deep in the heart of Texas
And 'round the Frisco Bay
All over St. Louis
Way Down in New Orleans
All the Cats wanna dance with
Sweet Little Sixteen",217
Carla Thomas,All I Want for Christmas Is You - 1963 Version,Blues,"Hello there, merry christmas how you been
It's so good to talk to you again.
It's been a long long time
cant' explain why you crossed my mind
I guess it's just to wish you a merry christmas

My best friend's having a party
and everybody's going
I know it's gonna be alot of fun - oh by the way
it's snowing

It's been a long long time
cant' explain why you crossed my mind
I guess it's just to say gee whiz it's christmas

It's funny that I have'nt thought to call you before
And why is it i haven't seen you around anymore
another year has passed and i can't erase
the memory of your smiling face
so i have to call you up and say
gee whiz it's christmas

so don't forget the party that we're throwing
the warm fires of the fireplace
will be glowing
It's been a long long time
still cant' figure out why you crossed my mind
I guess it's just to say gee whiz it's christmas

I'm wishing you a merry, have a merry christmas",183
