artist,song_name,closest_genre,lyric,length_lyric,actual_lyric_length
Memphis Minnie,He's In the Ring (Doin' the Same Old Thing),Blues,"If Simon says be glad today
I surely do what Simon say
And if youl like to see me smile
Then you're in luck cause that's my style

My pretty bird up in the tree
I hear the song you sing for me
The sky's fantastic blue or grey
And here we are alive today

Hey...
The simple things
The lovely simple things
The sunset and the dawn
The simple things
The lovely simple things
I could go on and on and on

For the simple pleasures
Are worth more than treasures
That your paper money ever bring

This song is old, this song is new
This song is me, this song is you
I like to play out in the rain
I like the sun to shine again
And again and again

Each day so many things to see
And I'm so glad I am me
And you, my friends, are pretty too
And I'm so glad that you are you",162,32
The Supremes,Where Did Our Love Go,Blues,"(Brian Holland/Lamont Dozier/Edward Holland, Jr.)

Ooh baby love, my baby love
I need you, oh how I need you
But all you do is treat me bad
Break my heart and leave me sad
Tell me, what did I do wrong
To make you stay away so long

'Cause baby love, my baby love
Been missing ya, miss kissing ya
Instead of breaking up
Let's do some kissing and making up
Don't throw our love away
In my arms why don't you stay
Need ya, need ya
Baby love, ooh, baby love

Baby love, my baby love
Why must we seperate, my love
All of my whole life through
I never loved no one but you
Why you do me like you do
I get this need

Ooh, ooh, need to hold you
Once again, my love
Feel your warm embrace, my love
Don't throw our love away

Please don't do me this way
Not happy like I used to be
Loneliness has got the best of me
My love, my baby love

I need you, oh how I need you
Why you do me like you do
After I've been true to you
So deep in love with you

Baby, baby, ooh 'til it's hurtin' me
'Til it's hurtin' me
Ooh, baby love
Don't throw our love away
Don't throw our love away",224,45
The Miracles,You Really Got A Hold On Me,Blues,"I don't like you
But I love you
See that I'm always
thinking of you
Oh, oh, oh,
you treat me badly
I love you madly
You've really got a hold on me
You've really got a hold on me, baby

I don't want you,
but I need you
Don't want to kiss you
but I need you
Oh, oh, oh
you do me wring now
my love is strong now
You've really got a hold on me
You've really got a hold on me, baby

I love you and all I want you to do
is just hold me, hold me, hold me, hold me

I want to leave you
don't want to stay here
Don't want to spend
another day here
Oh, oh, oh, I want to split now
I just can quit now
You've really got a hold on me
You've really got a hold on me, baby

I love you and all I want you to do
is just hold me, hold me, hold me, hold me

You've really got a hold on me
You've really got a hold on me",185,37
Marvin Gaye,What's Going On,Blues,"Mother, mother
There's too many of you crying
Brother, brother, brother
There's far too many of you dying
You know we've got to find a way
To bring some loving here today

Father, father
We don't need to escalate
You see, war is not the answer
For only love can conquer hate
You know we've got to find a way
To bring some loving here today

Picket lines and picket signs
Don't punish me with brutality
Talk to me, so you can see
What's going on, what's going on
What's going on, what's going on

Mother, mother
Everybody thinks we're wrong
But who are they to judge us
Simply 'cos our hair is long
You know we've got to find a way
To bring some loving here today

Picket lines and picket signs
Don't punish me with brutality
Talk to me, so you can see
What's going on, what's going on
Tell me what's going on
I'll tell you what's going on",162,33
Stevie Wonder,I Wish,Blues,"Looking back on when I
Was a little nappy headed boy
Then my only worry
Was for Christmas what would be my toy

Even though we sometimes
Would not get a thing
We were happy with the
Joy the day would bring

Sneaking out the back door
To hang out with those hoodlum friends of mine
Greeted at the back door
With ""Boy thought I told you not to go outside""

Tryin' your best to bring the
Water to your eyes
Thinkin' it might stop her
From woopin' your behind

I wish those days could come back once more
Why did those days ev-er have to go?
I wish those days could, come back once more
Why did those days ev-er have to go?
Cause I love them so

Doo Do Doo...

Brother says he's tellin'
'Bout you playin' doctor with that girl
Just don't tell, I'll give you
Anything you want in this whole wide world

Mama gives you money for Sunday school
You trade yours for candy after church is through

Smokin' cigarettes and writing something nasty on the wall (you nasty boy)
Teacher sends you to the principal's office down the hall
You grow up and learn that kinda thing ain't right
But while you were doin' it it sure felt outta sight

I wish those days could come back once more
Why did those days ev-er have to go?
I wish those days could come back once more
Why did those days ev-er have to go?",250,45
Otis Redding,(Sittin' On) the Dock of the Bay,Blues,"Sittin' in the morning sun
I'll be sittin' when the evening comes
Watching the ships roll in
Then I watch them roll away again, yeah

I'm sittin' on the dock of the bay
Watchin' the tide roll away, ooh
I'm just sittin' on the dock of the bay
Wastin' time

I left my home in Georgia
Headed for the Frisco Bay
Cuz I've had nothing to live for
And look like nothing's gonna come my way

So, I'm just gon' sit on the dock of the bay
Watchin' the tide roll away, ooh
I'm sittin' on the dock of the bay
Wastin' time

Looks like nothing's gonna change
Everything still remains the same
I can't do what ten people tell me to do
So I guess I'll remain the same, listen

Sittin' here resting my bones
And this loneliness won't leave me alone, listen
Two thousand miles I roam
Just to make this dock my home, now

I'm just gon' sit at the dock of a bay
Watchin' the tide roll away, ooh
Sittin' on the dock of the bay
Wastin' time

(Ends in harmonic whistling)",186,36
Sonny Boy Williamson II,The Right Kind Of Life,Blues,"You wake up late for school - man you don't wanna go
You ask you mom, ""Please?"" - but she still says, ""No!""
You missed two classes - and no homework
But your teacher preaches class like you're some kind of jerk!

(chorus) You gotta fight for your right to paaaaaaaaaaaaaarty

You pop caught you smoking - and he said, ""No way!""
That hypocrite - smokes two packs a day
Man, living at home is such a drag
Now your mom threw away your best porno mag (Busted!)

(Chours)
you gotta fight

Don't step out of this house if that's the clothes you're gonna wear
I'll kick you out of my home if you don't cut that hair
Your mom busted in and said, ""What's that noise?""
Aw, mom you're just jealous - it's the Beastie Boys!

(Chours)
PAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAARRRRRRRRRRRTY
paaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaarty",140,23
Otis Rush,Double Trouble,Blues,"Ole man trouble, leave me lonely
Go find you someone else to pick on
I live my live now you see
Ole man trouble
Please stay away from me, oh now
Ooh oh yeah,yeah

Oh, I look like I'm down in my luck
Please send faith to just help pick me up
I've lived this way so many years, now
Ole man trouble
Please wash away all my fears, oh now
Good God Almighty, help me

Sometimes, sometime I get a little worried
Ole man trouble, please please
Stay away from me
Ole man trouble, Ole Man Trouble
Stay away from me, satay away
You're nothing but trouble
Just stay away, stay away
Stay away, just please
Ole man trouble",120,23
Otis Redding,Pain in My Heart,Blues,"Pain in my heart
she's treating me cold
where can my baby be
Lord no one knows.

Pain in my heart just won't let me sleep
where can my baby be
Lord where can she be

Another day, as again it is though
I want you to come back, come back, come back, baby, 'till I get enough
A little pain in my heart just won't let me be
wake up at restless nights
Lord and I can't even sleep

Stop this little pain in my heart

Another day as again it's rough
I want you to love me, love me, love me, baby, 'till I get enough
Pain in my heart, a little pain in my heart
stop this little pain in my heart
stop this little pain in my heart
someone stop this pain
someone stop this pain",140,24
Stevie Wonder,Maybe Your Baby,Blues,"Well I'm love struck baby I must confess
Life without you darlin' is a solid mess
Thinkin' 'bout you baby give me such a thrill
I gotta have you baby....Can't get my fill
I love ya baby an' I know just what to do

I still remember....and let it be said
The way you make me feel it take a fool to forget
I swore a ton of bricks had hit me in the head
And what you do little baby....I ain't over yet

Every time I see ya make me feel so fine
My heart beatin' crazy....My blood runnin' wild
Your lovin' makes me feel like a mighty mighty man
Love me baby ain't I your man

I'm a love struck baby
Yeah I'm a love struck baby
You got me love struck baby
And I know just what to do

Sparks start flyin' every time we meet
Let me tell you baby you knock me off my feet
Your kisses trip me up and they're just doggone sweet
Don't you know baby you can't be beat

I'm a love struck baby
Yeah I'm a love struck baby
You got me love struck baby
And I know just what to do",202,30
