,artist,song_name,closest_genre,lyric
0,Mamie Smith,Keep A Song In Your Soul,Blues,"it's a junkie dream makes you so uptight
yeah it's halloween tonight and every night
see you scratch (see it on) your skin
your sandpaper throat
you're a symphony, man, with one fucking note
how they beat you up week after week
and when you grow up you're going to be a freak
want a violent girl who's not scared of anything
help me kill my time
'cause I'll never be fine
help me kill my time
you went down to look at old dallas town
where you must be sick just to hang around
seen it on tv how to kill your man
then like gacy's scene a canvas in your hand
you better call your mom she's out looking for you
in the jail and the army and the hospital too
but those people there couldn't do anything for you
help me kill my time
'cause I'll never be fine
help me kill my time
help me kill my time
help me kill my time
'cause I'll never be fine
help me kill my time"
1,Mamie Smith,Golfing Papa,Blues,"I know a triflin' man
They call him Triflin' Sam
He lives in Birmingham
Way down in Alabam'

Now the other night
He had a fight
With a gal named Mandy Brown
She plainly stated
She was aggravated
And she shouted out to him

Aggravatin' papa, don't you try to two-time me
I said, don't two-time me
Aggravatin' papa, treat me kind or let me be
I mean, just let me be

It's been a while, I'll get you told
Stop messin' round, sweet jellyroll
If you stay out with a high-brown baby
I'll smack you down, and I don't mean maybe

Aggravatin' papa, I'll do anything you say
Anything you say
But when you go struttin', do your strut around my way
So papa, just treat me pretty, be nice and kind
The way you treated me will make me lose my mind
Aggravatin' papa, don't you try to two-time me

Just treat me pretty, be nice and sweet
I got a darn forty-four that don't repeat
Aggravatin' papa, don't you try to two-time me"
2,Mamie Smith,Don't You Advertise Your Man,Blues,"Punctured bicycle
On a hillside desolate
Will nature make a man of me yet?
When in this charming car
This charming man

Why pamper life's complexities
When the leather runs smooth
On the passenger seat?

I would go out tonight
But I haven't got a stitch to wear
This man said ""it's gruesome
That someone so handsome should care""

A jumped-up pantry boy
Who never knew his place
He said ""return the rings""
He knows so much about these things
He knows so much about these things

I would go out tonight
But I haven't got a stitch to wear
This man said ""it's gruesome
That someone so handsome should care""
Oh, this charming man
Oh, this charming man

A jumped-up pantry boy
Who never knew his place
He said ""return the ring""
He knows so much about these things
He knows so much about these things
He knows so much about these things"
3,Mamie Smith,Miss Jenny's Ball (aka There'll Be No Freebies At Miss Jenny's Ball),Blues,"I'll fake it through the day
with some help
from Johnny Walker red
Send the poisoned rain down the drain
to put bad thoughts in my head

Two tickets torn in half
and a lot of nothing to do
Do you miss me--Miss Misery--
like you say you do?

A man in the park
read the lines in my hand
told me I'm strong, hardly ever wrong
I said man you mean

You had plans for both of us
that involved a trip out of town
to a place I've seen in a magazine
that you left lying around
I don't have you with me but
I keep a good attitude
Do you miss me--Miss Misery--
like you say you do?

I know you'd rather see me gone
than to see me the way that I am
but I am in your life, anyway

Next door TVs flashing blue
frames on the wall
It's a comedy of errors, you see;
it's about taking a fall
to vanish into oblivion
it's easy to do
and I try to be
but you know me I come back when you want me to
Do you miss me--Miss Misery--
like you say you do?"
4,Bessie Smith,Nobody Knows You When You're Down and Out,Jazz,"I was happy in the haze of a drunken hour
But heaven knows I'm miserable now
I was looking for a job and then I found a job
And heaven knows I'm miserable now
In my life
Why do I give valuable time
To people who don't care if I live or I die?

Two lovers entwined pass me by
And heaven knows I'm miserable now
I was looking for a job and then I found a job
And heaven knows I'm miserable now
In my life
Why do I give valuable time
To people who don't care if I live or I die?

What she asked of me at the end of the day
Caligula would have blushed
""Oh you've been in the house too long"", she said
And I naturally fled
In my life
Why do I smile
At people who I'd much rather kick in the eye?

I was happy in the haze of a drunken hour
But heaven knows I'm miserable now
""Oh you've been in the house too long"", she said
And I naturally fled
In my life
Why do I give valuable time
To people who don't care if I live or I die?"
5,Bessie Smith,'Tain't Nobody's Bizness If I Do,Jazz,"There ain't nothing I can do, or nothing I can say
That folks don't criticize me
But I'm goin' to, do just as I want to anyway
And don't care if they all despise me
If I should take a notion
To jump into the ocean
'T ain't nobody's bizness if I do, do, do do
If I go to church on Sunday
Sing the shimmy down on Monday
Ain't nobody's bizness if I do, if I do
If my friend ain't got no money
And I say ""take all mine, honey""
'T ain't nobody's bizness if I do, do, do do
If I give him my last nickel
And it leaves me in a pickle
'T ain't nobody's bizness if I do, if I do
There are _________________ would hit me
Since _______________up and quit me
'T ain't nobody's bizness if I do, do, do do
I swear I won't call no copper
If I'm beat up by my poppa
'T ain't nobody's bizness if I do, if I do"
6,Bessie Smith,Send Me to the 'Lectric Chair,Jazz,"Judge you wanna hear my plea
Before you open up your court
But I don't want no sympathy
'Cause I done cut my good man's throat
I caught him whith a trifling Jane
I warned him 'bout before
I had my knife and went insane
And the rest you ought to know
Judge, judge, please mister judge,
Send me to the 'lectric chair
Judge, judge, good mister judge,
Let me go away from here
I wanna take a journey
To the devil down below
I done killed my man
I wanna reap just what I sow

Oh judge, judge, lordy lordy judge
Send me to the 'lectric chair
Judge, judge, hear me judge
Send me to the 'lectric chair
I love him so dear
I cut him with my barlow (?)
I kicked him in the side
I stood here laughing o'r him
While he wallowed around and died
Oh judge, judge, lordy judge
Send me to the 'lectric chair
Judge, judge, sweet mister judge
Send me to the 'lectric chair
Judge, judge, good kind judge
Burn me 'cause I don't care
I don't want no one good mayor
To go my bail
I don't want to spend no
Ninety-nine years in jail
So judge, judge, good kind judge
Send me to the 'lectric chair"
7,Bessie Smith,Need a Little Sugar in My Bowl,Jazz,"One more little one
I'll go down
And stay down
And sleep the rest of the day

Dream new music
To calm down
And stay down
And keep evil away

I can hear you asleep
Changing your shape
Dissolved in some dream

As a new one appears
To take you along
Where you've never been

1, 2, 3, 4, 5, 6, 7
Moonlight tonight

Seems to belong to me 'cause I
Even though soon can sleep
I need some company

One hit wouldn't hurt a bit
I'll slow down and sleep
The rest of the time

If it's good shit
You won't know
And I won't know
The fact that I'm dying

If I seem to be reckless with myself
It's the fault of no one

All things have a place
Under the moon
As well as the sun

One more little one I love you"
8,Bessie Smith,Young Woman's Blues,Jazz,"I hate to see that evening sun go down
I hate to see that evening sun go down
'Cause, my baby, he's gone left this town

Feelin' tomorrow like I feel today
If I'm feelin' tomorrow like I feel today
I'll pack my truck and make my give-a-way

St. Louis woman with her diamond ring
Pulls that man around by her
If it wasn't for her and her
That man I love would have gone nowhere, nowhere

I got the St. Louis Blues
Blues as I can be
That man's got a heart like a rock cast in the sea
Or else he wouldn't have gone so far from me

I love my baby like a school boy loves his pie
Like a Kentucky colonel loves his mint'n rye
I love my man till the day I die

by W.C. Handy"
9,Bessie Smith,"Empty Bed Blues, Pt. 1",Jazz,"I hate to see that evening sun go down
I hate to see that evening sun go down
'Cause, my baby, he's gone left this town

Feelin' tomorrow like I feel today
If I'm feelin' tomorrow like I feel today
I'll pack my truck and make my give-a-way

St. Louis woman with her diamond ring
Pulls that man around by her
If it wasn't for her and her
That man I love would have gone nowhere, nowhere

I got the St. Louis Blues
Blues as I can be
That man's got a heart like a rock cast in the sea
Or else he wouldn't have gone so far from me

I love my baby like a school boy loves his pie
Like a Kentucky colonel loves his mint'n rye
I love my man till the day I die

by W.C. Handy"
10,Louis Armstrong,Ain't Misbehavin',Jazz,"No one to talk with
All by myself
No one to walk with
But I'm happy on the shelf
Ain't misbehavin'
I'm savin' my love for you

I know for certain
The one I love
I'm through with flirtin'
It's just you I'm thinkin' of
Ain't misbehavin'
I'm savin' my love for you

Like Jack Horner
In the corner
Don't go nowhere
What do I care?
Your kisses are worth waitin' for
Believe me

I don't stay out late
Don't care to go
I'm home about eight
Just me and my radio
Ain't misbehavin'
I'm savin' my love for you"
11,Bessie Smith,Me and My Gin,Jazz,"""Stay away from me 'cause I'm in my sin.
Stay away from me 'cause I'm in my sin.
If this place gets raided, it's just me and my gin.

Don't try me nobody, oh, you will never win.
Don't try me nobody 'cause you will never win.
I'll fight the army, navy just me and my gin.

Any bootlegger sure is a pal of mine.
Any bootlegger sure is a pal of mine.
'Cause a good ol' bottle o' gin will get it all the time.

When I'm feeling high ain't nothing I won't do.
When I'm feeling high ain't nothing I won't do.
Get me full of liquor and I'll sure be nice to you.

I don't want no pork and I don't need no beer.
I don't want no pork and I don't need no beer.
I don't want no porkchop just give me gin instead."""
12,Bessie Smith,Careless Love,Jazz,"Last night I dreamt
That somebody loved me
No hope - no harm
Just another false alarm

Last night I felt
Real arms around me
No hope - no harm
Just another false alarm

So tell me how long
Before the last one?
And tell me how long
Before the right one?

This story is old - I KNOW
But it goes on
This story is old - I KNOW
But it goes on

It goes on..."
13,Bessie Smith,Backwater Blues,Jazz,"I hate to see that evening sun go down
I hate to see that evening sun go down
'Cause, my baby, he's gone left this town

Feelin' tomorrow like I feel today
If I'm feelin' tomorrow like I feel today
I'll pack my truck and make my give-a-way

St. Louis woman with her diamond ring
Pulls that man around by her
If it wasn't for her and her
That man I love would have gone nowhere, nowhere

I got the St. Louis Blues
Blues as I can be
That man's got a heart like a rock cast in the sea
Or else he wouldn't have gone so far from me

I love my baby like a school boy loves his pie
Like a Kentucky colonel loves his mint'n rye
I love my man till the day I die

by W.C. Handy"
14,Bessie Smith,Baby Won't You Please Come Home,Jazz,"Good times for a change
See, the luck Ive had
Can make a good man
Turn bad

So please please please
Let me, let me, let me
Let me get what I want
This time

Havent had a dream in a long time
See, the life Ive had
Can make a good man bad

So for once in my life
Let me get what I want
Lord knows, it would be the first time
Lord knows, it would be the first time"
15,Bessie Smith,Down Hearted Blues,Jazz,"I hate to see that evening sun go down
I hate to see that evening sun go down
'Cause, my baby, he's gone left this town

Feelin' tomorrow like I feel today
If I'm feelin' tomorrow like I feel today
I'll pack my truck and make my give-a-way

St. Louis woman with her diamond ring
Pulls that man around by her
If it wasn't for her and her
That man I love would have gone nowhere, nowhere

I got the St. Louis Blues
Blues as I can be
That man's got a heart like a rock cast in the sea
Or else he wouldn't have gone so far from me

I love my baby like a school boy loves his pie
Like a Kentucky colonel loves his mint'n rye
I love my man till the day I die

by W.C. Handy"
16,Bessie Smith,Gimme a Pigfoot and a Bottle of Beer,Jazz,"""Up in Harlem every Saturday night
When the highbrows get together its just so right
They all congregate at an all night hop
And what they do is Oo Bop Bee Dap
Oh Hannah Brown from way cross town
Gets full of coin and starts breaking 'em down
And at the break of day
You can hear ol' Hannah say
'Gimme a pigfoot and a bottle of beer.
Send me again. I don't care.
I feel just like I wanna clown.
Give the piano player a drink because he's bringing me down!
He's gotta rhyme, yeah! When he stomps his feet.
He sends me right off to sleep.
Check all your razors and your guns.
We gonna be arrested when the wagon comes.
I wanna pigfoot and a bottle of beer.
Send me cause I don't care.
Blame me cause I don't care.
Gimme a pigfoot and a bottle of beer.
Send me again, I don't care.
I feel just like I wanna clown.
Give the piano player a drink because he's bringing me down.
He's got rhyme, Yeah, when he stomps his feet.
He sends me right off to sleep.
Check all your razors and your guns.
Do the Shim-Sham Shimmy 'til the rising sun.
Give me a reaper and a gang of gin.
Play me cause I'm in my sin.
Blame me cause I'm full of gin.'"""
17,Louis Armstrong,Lazy River,Jazz,"Up a lazy river by the old mill stream
That lazy, hazy river where we both can dream
Linger in the shade of an old oak tree
Throw away your troubles, dream a dream with me

Up a lazy river where the Robin's song
Wakes up in the mornin', as we roll along
Blue skies up above everyone�s in love
Up a lazy river, how happy we will be, now
Up a lazy river with me

Up a lazy river by the old mill run
That lazy, lazy river in the noon day sun
You can linger in the shade of that fine ole tree
Throw, away your troubles, baby, dream with me

Up a lazy river where the Robin's song
Wakes a brand new mornin' as we roll along
There are blue skies up above and as long as we're in love
Up a lazy river, how happy we could be
If you go up a lazy river with me
Ah said with me now goin' up that lazy river with me"
18,Louis Armstrong,I've Got The World On A String,Jazz,"I see trees of green, red roses too.
I see them bloom for me and you,
And I think to myself, what a wonderful world.

I see skies of blue and clouds of white.
The bright blessed day, the dark sacred night,
And I think to myself, what a wonderful world.

The colors of the rainbow, so pretty in the sky
Are also on the faces of people going by,
I see friends shaking hands, saying, ""How do you do?""
They're really saying, ""I love you.""

I hear babies cry, I watch them grow,
They'll learn much more, than I'll ever know.
And I think to myself, what a wonderful world.

Yes, I think to myself, what a wonderful world.
Oh yeah"
19,Bessie Smith,Work House Blues,Jazz,"I hate to see that evening sun go down
I hate to see that evening sun go down
'Cause, my baby, he's gone left this town

Feelin' tomorrow like I feel today
If I'm feelin' tomorrow like I feel today
I'll pack my truck and make my give-a-way

St. Louis woman with her diamond ring
Pulls that man around by her
If it wasn't for her and her
That man I love would have gone nowhere, nowhere

I got the St. Louis Blues
Blues as I can be
That man's got a heart like a rock cast in the sea
Or else he wouldn't have gone so far from me

I love my baby like a school boy loves his pie
Like a Kentucky colonel loves his mint'n rye
I love my man till the day I die

by W.C. Handy"
20,Bessie Smith,Preachin' the Blues,Jazz,"I hate to see that evening sun go down
I hate to see that evening sun go down
'Cause, my baby, he's gone left this town

Feelin' tomorrow like I feel today
If I'm feelin' tomorrow like I feel today
I'll pack my truck and make my give-a-way

St. Louis woman with her diamond ring
Pulls that man around by her
If it wasn't for her and her
That man I love would have gone nowhere, nowhere

I got the St. Louis Blues
Blues as I can be
That man's got a heart like a rock cast in the sea
Or else he wouldn't have gone so far from me

I love my baby like a school boy loves his pie
Like a Kentucky colonel loves his mint'n rye
I love my man till the day I die

by W.C. Handy"
